,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,threshold,network_speed,runtime,latency
0,050fd1c8faedb1bac7fa1a684cefedf1,select,118219297,4006767968,0,0.0452969409267194,0,1,80135359360,1,300891A,,2024-04-14 12:14:36,33.89267293646654,677.8534587293308,0.0008476372112735,2.4,False,False,normal,False,False,0,1,immediate,050fd1c8faedb1bac7fa1a684cefedf1,1093.1385652173913,17179869184.0,0.030973431926061265,0.030973431926061265
1,1fcc253f751a441ed1f60392a5e68fa0,select,6782357442,1360525846,0,0.0233250501921054,0,1,27210516920,1,29739A,,2024-04-14 12:15:31,0.2005977799953292,4.011955599906585,0.0008476372112735,2.24,True,True,normal,False,False,1,1,immediate,1fcc253f751a441ed1f60392a5e68fa0,1093.1385652173913,17179869184.0,23.26538519999503,23.26538519999503
2,a8742ed4e427b21e5ec23107238448d0,select,7106639472,2330717371,0,0.0327157445798549,0,1,46614347420,1,59259A,,2024-04-14 12:15:50,0.327963361611768,6.55926723223536,0.0012714558169103,2.79,True,True,normal,False,False,1,1,immediate,a8742ed4e427b21e5ec23107238448d0,1093.1385652173913,17179869184.0,39.58965288792338,39.58965288792338
3,10944d9197940464261ff558d34c01c7,select,546198895,5778936637,0,0.0646182484704574,0,1,115578732740,1,59743A,,2024-04-14 12:16:31,10.580278887235757,211.60557774471516,0.0004238186056367,3.49,False,False,normal,False,False,0,1,immediate,10944d9197940464261ff558d34c01c7,1093.1385652173913,17179869184.0,0.06579107660411636,0.06579107660411636
4,67371b1c6407a2f05c2b48d82882a2aa,select,3065229712,5775763655,0,0.0661381651810402,0,1,115515273100,1,1460A,,2024-04-14 12:16:48,1.8842841149518388,37.68568229903678,0.0006357279084551,3.96,False,False,normal,False,False,0,1,immediate,67371b1c6407a2f05c2b48d82882a2aa,1093.1385652173913,17179869184.0,0.21302090551787609,0.21302090551787609
5,dc0872a12fdf6ce122a9201777def747,select,1148828007,2748379842,0,0.0406373853745907,0,1,54967596840,1,59394A,,2024-04-14 12:16:50,2.3923336002026976,47.84667200405396,0.0014833651197287,2.24,False,False,normal,False,False,0,1,immediate,dc0872a12fdf6ce122a9201777def747,1093.1385652173913,17179869184.0,0.08834032683193381,0.08834032683193381
6,0f78baa587eeee456ebdf377ddef39c8,select,496902837,4000229780,0,0.0461667248961323,0,1,80004595600,1,228709A,,2024-04-14 12:16:58,8.050325903049734,161.0065180609947,0.0006357279084551,2.5,False,False,normal,False,False,0,1,immediate,0f78baa587eeee456ebdf377ddef39c8,1093.1385652173913,17179869184.0,0.05371635214249758,0.05371635214249758
7,eb046d72a7a12f2a1013e65dfe1fb870,select,244070545,3488702240,0,0.0405779728521087,0,1,69774044800,1,228811A,,2024-04-14 12:17:07,14.293827385029193,285.87654770058384,0.0006357279084551,2.16,False,False,normal,False,False,0,1,immediate,eb046d72a7a12f2a1013e65dfe1fb870,1093.1385652173913,17179869184.0,0.03596427868351567,0.03596427868351567
8,001fc7dd57242121b44b06e1915d8b5b,delete,152488125,0,35447329,0.0044128091017181,0,1,0,1,918A,96A,2024-04-14 12:17:14,0.0,0.0,0.0008476372112735,0.23,False,False,normal,True,False,0,0,immediate,001fc7dd57242121b44b06e1915d8b5b,1093.1385652173913,17179869184.0,0.0415035509309096,
9,88a613c0eb04ba59a2060db11d9d4e4d,select,429236785,4420398699,0,0.0475635790604083,0,1,88407973980,1,59743A,,2024-04-14 12:17:20,10.298275575333088,205.96551150666176,0.0010595465140919,2.59,False,False,normal,False,False,0,1,immediate,88a613c0eb04ba59a2060db11d9d4e4d,1093.1385652173913,17179869184.0,0.050289158688433144,0.050289158688433144
