,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,threshold,network_speed,runtime,latency
14,5acd578e34267731475fb27b0cc5e0b8,select,151764351,367564748,0,0.0077191841742199,0,1,7351294960,1,56A,,2024-04-14 12:15:48,2.4219439254215898,48.4388785084318,0.0005281225244256,1.83,False,False,normal,False,False,0,1,immediate,5acd578e34267731475fb27b0cc5e0b8,1192.965565217391,17179869184.0,0.1949623848877404,0.1949623848877404
15,0c9dedf787f8ed8038c1eaa8b0175ad2,select,1812592863,939083480,0,0.0147126987708558,0,1,18781669600,1,256840A,,2024-04-14 12:15:58,0.5180884793100943,10.361769586201884,0.0002640612622128,3.96,False,False,normal,False,False,0,1,immediate,0c9dedf787f8ed8038c1eaa8b0175ad2,1192.965565217391,17179869184.0,0.2790134220398641,1.7875558171334769
16,05d99073bd5149ed0dd2d1ed4be87641,select,3648108830,311012034,0,0.0140002379958733,0,2,9330361020,1,"257031A,59364A",,2024-04-14 12:16:00,0.0852529484434267,2.5575884533028037,0.0003520816829504,3.49,False,False,normal,False,False,0,1,immediate,05d99073bd5149ed0dd2d1ed4be87641,1192.965565217391,17179869184.0,0.3987177624835927,0.6926543073011936
17,7d15b0765467129b0ebf1538682af4d9,select,1744162418,240619798,0,0.0125135688072366,0,2,7218593940,1,"1080A,2936A",,2024-04-14 12:16:05,0.1379572197616288,4.1387165928488665,0.0003520816829504,2.85,False,False,normal,False,False,0,1,immediate,7d15b0765467129b0ebf1538682af4d9,1192.965565217391,17179869184.0,0.2949319617163143,0.2949319617163143
18,1f6e298acab0a3398b650b404672a6d7,insert,814220646,0,368808775,0.0099109808586676,0,2,0,1,"713A,59391A",8A,2024-04-14 12:16:06,0.0,0.0,0.0005281225244256,2.86,False,False,normal,True,False,0,0,immediate,1f6e298acab0a3398b650b404672a6d7,1192.965565217391,17179869184.0,0.09528436193466877,
19,0883806d3be59da8de7adc2ade51dea9,delete,15709056392,0,1126569,0.0258829502908964,0,1,0,1,53A,228A,2024-04-14 12:16:07,0.0,0.0,0.0003520816829504,7.31,False,False,normal,True,False,0,0,immediate,0883806d3be59da8de7adc2ade51dea9,1192.965565217391,17179869184.0,0.9274600527742172,
20,fa8ea9b584e7f9ba755d1dc600316e5f,select,2578623922,860265335,0,0.0168280071530988,0,1,17205306700,1,256800A,,2024-04-14 12:16:10,0.3336141139700479,6.672282279400958,0.0006161429451632,4.4,False,False,normal,False,False,0,1,immediate,fa8ea9b584e7f9ba755d1dc600316e5f,1192.965565217391,17179869184.0,0.35193234718415134,0.4382571594280435
21,114373615bf5d7423f305f38f53d5b96,select,1190917204,319588801,0,0.0059574595949089,0,2,9587664043,1,"59578A,59382A",,2024-04-14 12:16:14,0.2683551806765382,8.050655420296147,0.0006161429451632,1.62,False,False,normal,False,False,0,1,immediate,114373615bf5d7423f305f38f53d5b96,1192.965565217391,17179869184.0,0.21360241849116313,0.21360241849116313
22,5dae97be07ee00967dcb77745ece9b65,select,1435958679,350636451,0,0.0119643095932164,0,1,7012729020,1,476A,,2024-04-14 12:16:17,0.2441828279099109,4.8836565581982185,0.000440102103688,2.8,False,False,normal,False,False,0,1,immediate,5dae97be07ee00967dcb77745ece9b65,1192.965565217391,17179869184.0,0.26155860483239607,0.4631136417641357
23,d77b70ac03b81be5737f4db79aab047a,select,869976654,460591783,0,0.011891524715561,0,1,9211835660,1,214A,,2024-04-14 12:16:30,0.5294300495102711,10.588600990205425,0.0001760408414752,2.81,False,False,normal,False,False,0,1,immediate,d77b70ac03b81be5737f4db79aab047a,1192.965565217391,17179869184.0,0.18564049726441836,0.18564049726441836
24,758e0f814a610dd2b6c97341431857a7,insert,501121133,0,305708414,0.0077322061226984,0,1,0,1,5275A,1385A,2024-04-14 12:16:34,0.0,0.0,0.0003520816829504,2.25,False,False,normal,True,False,0,0,immediate,758e0f814a610dd2b6c97341431857a7,1192.965565217391,17179869184.0,0.06862433544859763,
25,6ecb6a3ee8ecbdf55b5c8d7f35a73bc1,insert,597700984,0,355021085,0.0075115376702584,0,1,0,1,229368A,158A,2024-04-14 12:16:37,0.0,0.0,0.0002640612622128,2.34,False,False,normal,True,False,0,0,immediate,6ecb6a3ee8ecbdf55b5c8d7f35a73bc1,1192.965565217391,17179869184.0,0.0798764389050696,
26,ea0d4ac16f7ba20d2292375f0828969b,select,266030832,325243010,0,0.0071093729930932,0,1,6504860200,1,229249A,,2024-04-14 12:16:42,1.2225763741550078,24.451527483100158,8.802042073761112e-05,1.69,False,False,normal,False,False,0,1,immediate,ea0d4ac16f7ba20d2292375f0828969b,1192.965565217391,17179869184.0,0.1862020180261171,0.1862020180261171
