wl,cache_size,cache_type,model,storage_cost,compute_cost,total_cost,result_size,x_label
wl1,8,s3,hybrid,0.009345131302088522,0.11411150234902577,0.1234566336511143,1111010233.8029735,100MB
wl1,8,gp3,hybrid,0.01971234067257262,0.08783855904377422,0.10755089971634683,1111010233.8029735,100MB
wl2,64,s3,hybrid,0.0485336403153769,0.1071930043562874,0.1557266446716644,47105362920.9375,1GB
wl2,64,gp3,hybrid,0.1654169332845884,0.1358811904191889,0.3012981237037774,47115447562.965744,1GB
wl3,256,s3,hybrid,0.1608832545251967,0.1271184279936598,0.2880016825188566,470655404112.7406,>1GB
wl3,256,gp3,hybrid,0.5610245050669973,0.1833651692480699,0.7443896743150672,470655404112.7406,>1GB
wl4,8,s3,hybrid,0.022500533037748485,0.07932154354144016,0.10182207657918865,16063746.030481787,10MB
wl4,8,gp3,hybrid,0.020534320698157717,0.05847451511833189,0.07900883581648961,16063746.030481787,10MB
