,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime,size
210106903c7675f75ac1aa3ec4dbcccb,,select,156351,0.013476448999635557,0,0.006010814511076841,0,2,0.4042934699890667,2,"9A,0A",,2024-04-14 13:15:29,8.619355808172353e-08,2.585806742451706e-06,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,2e8c2d5c94f027773cd59868667095d9,1250000000.0,0.003130488389754356,0.003130488389754356,8184.0
715,cba73aef645fdf397d74d428e9300fb7,insert,3999800088,0.0,250755,0.014405435653717937,0,2,0.0,2,"9A,6A",5A,2024-04-14 13:15:43,0.0,0.0,0.001034126163391934,0.18,False,False,False,False,0,1,normal,immediate,cba73aef645fdf397d74d428e9300fb7,17179869184.0,0.2413611383017403,0.24161627633880098,
963,6551dccad9abcd764036cb335f826546,insert,509795382,0.0,791055,0.002103815664055048,0,2,0.0,2,"9A,0A",7A,2024-04-14 13:15:44,0.0,0.0,0.001034126163391934,0.45,False,False,False,False,0,1,normal,immediate,6551dccad9abcd764036cb335f826546,17179869184.0,0.03227415609875958,0.03265690285845519,
800,e7a4920641dfd8dabd3cc8fa2e13c876,select,1852232488,715493.0,0,0.004705739582711503,0,1,14309860.0,2,3A,,2024-04-14 13:17:00,0.00038628682124703127,0.007725736424940626,0.002068252326783868,0.03,True,True,False,False,1,0,normal,immediate,e7a4920641dfd8dabd3cc8fa2e13c876,17179869184.0,0.12329595204984772,0.1240264460238883,15025353.0
725,5d74c98b5ed71b73838627d91982fe98,insert,3155813961,0.0,324879,0.007560265396782226,0,1,0.0,2,1A,5A,2024-04-14 13:17:30,0.0,0.0,0.001034126163391934,0.21,False,False,False,False,0,1,normal,immediate,5d74c98b5ed71b73838627d91982fe98,17179869184.0,0.18861664915086604,0.1893314713947106,
301,8a4f0f36885df1bb6010da5c6fd3c334,insert,4123584320,0.0,294365,0.008123167634197855,0,1,0.0,2,1A,5A,2024-04-14 13:20:37,0.0,0.0,0.002068252326783868,0.2,False,False,False,False,0,1,normal,immediate,8a4f0f36885df1bb6010da5c6fd3c334,17179869184.0,0.24513172216935672,0.24515742029719392,
162,d8cb426abd2e5ccdc8c19d70c4ec96af,insert,1623938520,0.0,1045862,0.00493641852193386,0,1,0.0,2,2A,7A,2024-04-14 13:22:10,0.0,0.0,0.002068252326783868,0.6,False,False,False,False,0,1,normal,immediate,d8cb426abd2e5ccdc8c19d70c4ec96af,17179869184.0,0.09877674428408906,0.09809391161072481,
678,bdc83d416235a709c3865757e1a9a1b8,select,27894414405,1974.0,0,0.03369168495395791,0,2,59220.0,2,"4A,9A",,2024-04-14 13:22:14,7.076725239217937e-08,2.123017571765381e-06,0.0031023784901758012,0.19,True,True,False,False,1,0,normal,immediate,bdc83d416235a709c3865757e1a9a1b8,17179869184.0,1.642337630052492,1.6425023246793133,61194.0
857,044fb3659cc98a1b6fa87d8d1116a232,insert,5074888931,0.0,350741,0.010617064643474344,0,1,0.0,2,2A,5A,2024-04-14 13:22:52,0.0,0.0,0.0,0.24,False,False,False,False,0,1,normal,immediate,044fb3659cc98a1b6fa87d8d1116a232,17179869184.0,0.3025083861227361,0.30211621751805967,
132,044fb625f7369dbfd1ad466fb7d351d6,select,5627074965,360716.0,0,0.009644653027665564,0,2,10821480.0,2,"6A,9A",,2024-04-14 13:23:52,6.410364619501497e-05,0.0019231093858504491,0.002068252326783868,0.05,True,True,False,False,1,0,normal,immediate,044fb625f7369dbfd1ad466fb7d351d6,17179869184.0,0.34231121098898587,0.34307514318197224,11182196.0
